日期,渠道,H5id,全部客户,偷子,临时客户,加微客户,加微率,填写问卷人数,填写问卷率,导学课到课人数,导学课到课率,导学课完课人数,导学课完课率,转化人数,正价转化率,GMV,结算cac,ROI
6.1-6.7,花骡直播,192,40,,5,35,87.50%,30,75.00%,18,45.00%,17,42.50%,6,15.00%,15860,,GMV/CAC*全部客户
,,223,22,,1,21,95.45%,11,50.00%,8,36.36%,4,18.18%,0,0.00%,0,,
,,汇总,62,,6,56,90.32%,41,66.13%,26,41.94%,21,33.87%,6,9.68%,15860,,
,TMK短信,309-衢州耀晨,64,,10,54,84.38%,20,31.25%,17,26.56%,15,23.44%,1,1.56%,1980,,
,,323-杭州乐喻,203,,3,200,98.52%,88,43.35%,73,35.96%,51,25.12%,3,1.48%,9920,,
,,328-衢州耀晨,67,,5,62,92.54%,18,26.87%,14,20.90%,9,13.43%,0,0.00%,0,,
,,329-衢州耀晨,68,,1,67,98.53%,24,35.29%,33,48.53%,20,29.41%,0,0.00%,0,,
,,330-衢州耀晨,69,,6,63,91.30%,21,30.43%,13,18.84%,11,15.94%,1,1.45%,1980,,
,,380-祥峰丰-短信,14,,3,11,78.57%,1,7.14%,5,35.71%,5,35.71%,0,0.00%,0,,
,,349-临沂商通,1,,0,1,100.00%,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,,
,,汇总,486,,28,458,94.24%,173,35.60%,156,32.10%,112,23.05%,5,1.03%,0,,
,SDK聚合,176,4,,1,3,75.00%,2,50.00%,2,50.00%,2,50.00%,0,0.00%,0,,
,,汇总,4,,1,3,75.00%,2,50.00%,2,50.00%,2,50.00%,0,0.00%,0,,
,私域,69-太极养生,115,,44,71,61.74%,59,51.30%,21,18.26%,18,15.65%,0,0.00%,0,,
,,70-太极养生,79,,21,58,73.42%,51,64.56%,19,24.05%,9,11.39%,0,0.00%,0,,
,,汇总,194,,65,129,66.49%,110,56.70%,40,20.62%,27,13.92%,0,0.00%,0,,
6.8-6.14,花骡直播,162,2,,0,2,100.00%,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,,
,,192,72,,1,71,98.61%,37,51.39%,39,54.17%,30,41.67%,8,11.11%,23800,,
,,222,3,,0,3,100.00%,3,100.00%,2,66.67%,0,0.00%,0,0.00%,0,,
,,223,31,,0,31,100.00%,19,61.29%,13,41.94%,10,32.26%,1,3.23%,1980,,
,,汇总,108,,1,107,99.07%,60,55.56%,55,50.93%,41,37.96%,9,8.33%,25780,,
,TMK短信,309-衢州耀晨,46,,19,27,58.70%,44,95.65%,28,60.87%,21,45.65%,0,0.00%,0,,
,,323-杭州乐喻,67,,10,57,85.07%,25,37.31%,10,14.93%,8,11.94%,0,0.00%,0,,
,,328-衢州耀晨,3,,0,3,100.00%,1,33.33%,2,66.67%,1,33.33%,0,0.00%,0,,
,,329-衢州耀晨,12,,2,10,83.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,330-衢州耀晨,19,,0,19,100.00%,4,21.05%,3,15.79%,3,15.79%,0,0.00%,0,,
,,348-临沂商通,93,,0,93,100.00%,33,35.48%,38,40.86%,28,30.11%,1,1.08%,1980,,
,,349-临沂商通,57,,0,57,100.00%,15,26.32%,21,36.84%,18,31.58%,0,0.00%,0,,
,,350-临沂商通,39,,0,39,100.00%,7,17.95%,9,23.08%,6,15.38%,0,0.00%,0,,
,,351-临沂商通,27,,0,27,100.00%,7,25.93%,7,25.93%,6,22.22%,0,0.00%,0,,
,,汇总,363,,31,332,91.46%,136,37.47%,118,32.51%,91,25.07%,1,0.28%,1980,,
,SDK聚合,176,2,,1,1,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,汇总,2,,1,1,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,私域,69-太极养生,83,,32,51,61.45%,36,43.37%,20,24.10%,14,16.87%,0,0.00%,0,,
,,70-太极养生,84,,27,57,67.86%,52,61.90%,27,32.14%,20,23.81%,1,1.19%,999,,
,,汇总,167,,59,108,64.67%,88,52.69%,47,28.14%,34,20.36%,1,0.60%,999,,
6.15-6.21,花骡直播,162,1,,0,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,192,100,,29,71,71.00%,55,55.00%,35,35.00%,25,25.00%,4,4.00%,7920,,
,,222,10,,0,10,100.00%,5,50.00%,6,60.00%,6,60.00%,1,10.00%,1980,,
,,223,51,,0,51,100.00%,24,47.06%,18,35.29%,10,19.61%,0,0.00%,0,,
,,286,1,,0,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,0.00%,0,,
,,汇总,163,,29,134,82.21%,85,52.15%,60,36.81%,41,25.15%,5,3.07%,9900,,
,TMK短信,309-衢州耀晨,31,,18,13,41.94%,31,100.00%,23,74.19%,19,61.29%,0,0.00%,0,,
,,323-杭州乐喻,73,,21,52,71.23%,33,45.21%,22,30.14%,19,26.03%,0,0.00%,0,,
,,328-衢州耀晨,1,,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,329-衢州耀晨,1,,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,330-衢州耀晨,1,,0,1,100.00%,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,汇总,107,,41,66,61.68%,65,60.75%,45,42.06%,38,35.51%,0,0.00%,0,,
,SDK聚合,176,3,,0,3,100.00%,1,33.33%,2,66.67%,2,66.67%,0,0.00%,0,,
,,汇总,3,,0,3,100.00%,1,33.33%,2,66.67%,2,66.67%,0,0.00%,0,,
,私域,69-太极养生,188,,72,116,61.70%,91,48.40%,54,28.72%,44,23.40%,0,0.00%,0,,
,,70-太极养生,200,,50,150,75.00%,136,68.00%,67,33.50%,41,20.50%,1,0.50%,1980,,
,,汇总,388,,122,266,68.56%,227,58.51%,121,31.19%,85,21.91%,1,0.26%,1980,,
6.22-6.30,花骡直播,192,50,,0,21,42.00%,35,70.00%,23,46.00%,16,32.00%,6,12.00%,11880,,
,,222,1,,0,1,100.00%,0,0.00%,0,0.00%,0,0.00%,1,100.00%,1980,,
,,223,199,,0,121,60.80%,102,51.26%,66,33.17%,46,23.12%,2,1.01%,3960,,
,,汇总,250,,0,143,57.20%,137,54.80%,89,35.60%,62,24.80%,9,3.60%,17820,,
,TMK短信,309-衢州耀晨,57,,27,30,52.63%,52,91.23%,34,59.65%,29,50.88%,0,0.00%,0,,
,,323-杭州乐喻,41,,11,30,73.17%,17,41.46%,9,21.95%,6,14.63%,0,0.00%,0,,
,,328-衢州耀晨,8,,1,7,87.50%,2,25.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,330-衢州耀晨,6,,3,3,50.00%,5,83.33%,0,0.00%,0,0.00%,0,0.00%,0,,
,,380-祥峰丰-短信,265,,61,204,76.98%,129,48.68%,128,48.30%,107,40.38%,4,1.51%,6933,,
,,汇总,377,,103,274,72.68%,205,54.38%,171,45.36%,142,37.67%,4,1.06%,6933,,
,SDK聚合,176,17,,0,17,100.00%,9,52.94%,7,41.18%,3,17.65%,0,0.00%,0,,
,,汇总,17,,0,17,100.00%,9,52.94%,7,41.18%,3,17.65%,0,0.00%,0,,
,私域,69-太极养生,110,,53,57,51.82%,71,64.55%,42,38.18%,28,25.45%,0,0.00%,0,,
,,70-太极养生,139,,49,90,64.75%,91,65.47%,39,28.06%,24,17.27%,0,0.00%,0,,
,,汇总,249,0,102,147,59.04%,162,65.06%,81,32.53%,52,20.88%,0,0.00%,0,,
7.1-7.7,花骡直播,192,53,,0,53,100.00%,38,71.70%,23,43.40%,17,32.08%,6,11.32%,11880,,
,,222,10,,0,10,100.00%,7,70.00%,7,70.00%,6,60.00%,0,0.00%,,,
,,223,33,,0,33,100.00%,20,60.61%,19,57.58%,14,42.42%,3,9.09%,5940,,
,,汇总,96,,0,96,100.00%,65,67.71%,49,51.04%,37,38.54%,9,9.38%,17820,,
,TMK短信,309-衢州耀晨,45,,6,39,86.67%,43,95.56%,35,77.78%,32,71.11%,0,0.00%,0,,
,,323-杭州乐喻,66,,10,56,84.85%,36,54.55%,15,22.73%,12,18.18%,0,0.00%,0,,
,,328-衢州耀晨,1,,0,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,330-衢州耀晨,1,,0,1,100.00%,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,,
,,380-祥峰丰-短信,14,,3,11,78.57%,1,7.14%,5,35.71%,5,35.71%,0,0.00%,0,,
,,492-品动-TMK,106,,0,106,100.00%,29,27.36%,24,22.64%,20,18.87%,0,0.00%,0,,
,,495-品动-TMK,112,,1,111,99.11%,28,25.00%,32,28.57%,21,18.75%,0,0.00%,0,,
,,汇总,345,0,20,325,94.20%,138,40.00%,112,32.46%,91,26.38%,0,0.00%,0,,
,SDK聚合,176,13,,0,13,100.00%,5,38.46%,4,30.77%,3,23.08%,0,0.00%,,,
,,汇总,13,0,0,13,100.00%,5,38.46%,3,23.08%,0,0.00%,0,0.00%,0,,
,私域,69-太极养生,98,,20,78,79.59%,63,64.29%,36,36.73%,27,27.55%,1,1.02%,1980,,
,,70-太极养生,75,,8,67,89.33%,53,70.67%,28,37.33%,21,28.00%,0,0.00%,0,,
,,汇总,173,0,28,145,83.82%,116,67.05%,64,36.99%,48,27.75%,1,0.58%,0,,
7.8-7.14,花骡直播,162,1,,0,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,192,128,,5,81,63.28%,99,77.34%,65,46.09%,59,46.09%,5,3.91%,9900,,
,,222,6,,0,6,100.00%,3,50.00%,2,33.33%,2,33.33%,0,0.00%,0,,
,,223,8,,0,7,87.50%,2,25.00%,3,12.50%,1,12.50%,0,0.00%,0,,
,,286,10,,0,5,50.00%,6,60.00%,5,50.00%,5,50.00%,0,0.00%,0,,
,,530,12,,3,7,58.33%,9,75.00%,7,50.00%,6,50.00%,1,8.33%,1980,,
,,汇总,165,,8,107,64.85%,119,72.12%,73,44.24%,73,44.24%,6,3.64%,11880,,
,TMK短信,309-衢州耀晨,38,,2,36,94.74%,31,81.58%,24,63.16%,20,52.63%,0,0.00%,0,,
,,323-杭州乐喻,15,,0,10,66.67%,5,33.33%,3,20.00%,2,13.33%,0,0.00%,0,,
,,328-衢州耀晨,1,,0,1,100.00%,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,,
,,380-祥峰丰-短信,3,,0,1,33.33%,2,66.67%,2,66.67%,0,0.00%,1,33.33%,999,,
,,478-锦囊互动,48,,18,25,52.08%,27,56.25%,22,45.83%,20,41.67%,0,0.00%,0,,
,,汇总,105,,20,73,69.52%,66,62.86%,52,49.52%,43,40.95%,1,0.95%,999,,
,SDK聚合,176,119,,1,118,99.16%,35,29.41%,16,13.45%,11,9.24%,0,0.00%,0,,
,,506,2,,19,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,汇总,121,,20,120,99.17%,35,28.93%,16,13.22%,11,9.09%,0,0.00%,0,,
,私域,69-太极养生,102,,21,81,79.41%,55,53.92%,29,28.43%,20,19.61%,0,0.00%,0,,
,,70-太极养生,103,,9,94,91.26%,74,71.84%,25,24.27%,25,24.27%,0,0.00%,0,,
,,汇总,205,0,30,175,85.37%,129,62.93%,45,21.95%,45,21.95%,0,0.00%,0,,
7.15-7.21,花骡直播,162,2,,0,2,100.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,,
,,192,33,,8,21,63.64%,14,42.42%,10,30.30%,6,18.18%,0,0.00%,0,,
,,222,3,,0,3,100.00%,3,100.00%,3,100.00%,2,66.67%,0,0.00%,0,,
,,223,2,,0,2,100.00%,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,,
,,286,7,,1,6,85.71%,4,57.14%,4,57.14%,3,42.86%,0,0.00%,0,,
,,530,53,,13,40,75.47%,36,67.92%,28,52.83%,22,41.51%,1,1.89%,1980,,
,,532,1,,0,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,汇总,101,,22,75,74.26%,58,57.43%,47,46.53%,34,33.66%,1,0.99%,1980,,
,TMK短信,309-衢州耀晨,15,,0,15,100.00%,13,86.67%,9,60.00%,8,53.33%,0,0.00%,0,,
,,380-祥峰丰-短信,3,,0,3,100.00%,1,33.33%,1,33.33%,0,0.00%,0,0.00%,0,,
,,478-锦囊互动,45,,13,32,71.11%,26,57.78%,17,37.78%,12,26.67%,1,2.22%,1980,,
,,汇总,63,,13,50,79.37%,40,63.49%,27,42.86%,20,31.75%,1,1.59%,1980,,
,SDK聚合,176,30,,0,30,100.00%,7,1.00%,16,53.33%,1,3.33%,0,0.00%,0,,
,,506,249,,131,118,47.39%,46,18.47%,10,4.02%,5,2.01%,0,0.00%,0,,
,,汇总,279,,131,148,53.05%,53,19.00%,26,9.32%,6,2.15%,0,0.00%,0,,
,私域,69-太极养生,91,,28,63,69.23%,42,46.15%,27,29.67%,23,25.27%,0,0.00%,0,,
,,70-太极养生,57,,8,49,85.96%,39,68.42%,15,26.32%,14,24.56%,0,0.00%,0,,
,,汇总,148,0,36,112,75.68%,81,54.73%,37,25.00%,37,25.00%,0,0.00%,0,,
7.22-7.31,花骡直播,162,4,,0,4,100.00%,4,100.00%,3,75.00%,3,75.00%,1,25.00%,1980,,
,,192,80,,21,59,73.75%,49,61.25%,28,35.00%,22,27.50%,1,1.25%,1980,,
,,222,6,,0,6,100.00%,3,50.00%,2,33.33%,0,0.00%,0,0.00%,0,,
,,286,5,,0,5,100.00%,3,60.00%,2,40.00%,0,0.00%,0,0.00%,0,,
,,530,96,,11,85,88.54%,70,72.92%,67,69.79%,58,60.42%,4,4.17%,6935,,
,,552,26,,1,25,96.15%,18,69.23%,16,61.54%,13,50.00%,0,0.00%,0,,
,,汇总,217,,33,184,84.79%,147,67.74%,118,54.38%,96,44.24%,6,2.76%,10895,,
,TMK短信,309-衢州耀晨,17,,0,17,100.00%,16,94.12%,7,41.18%,7,41.18%,0,0.00%,0,,
,,380-祥峰丰-短信,329,,10,184,55.93%,115,34.95%,102,31.00%,82,24.92%,3,0.91%,3978,,
,,478-锦囊互动,28,,11,20,71.43%,15,53.57%,11,39.29%,8,28.57%,1,3.57%,1980,,
,,汇总,374,,21,221,59.09%,146,39.04%,120,32.09%,97,25.94%,4,1.07%,5958,,
,SDK聚合,176,30,,0,30,100.00%,7,1.00%,16,53.33%,1,3.33%,0,0.00%,0,,
,,506,249,,131,118,47.39%,46,18.47%,10,4.02%,5,2.01%,0,0.00%,0,,
,,汇总,279,,131,148,53.05%,53,19.00%,26,9.32%,6,2.15%,0,0.00%,0,,
,私域,69-太极养生,91,,28,63,69.23%,42,46.15%,27,29.67%,23,25.27%,0,0.00%,0,,
,,70-太极养生,57,,8,49,85.96%,39,68.42%,15,26.32%,14,24.56%,0,0.00%,0,,
,,汇总,148,0,36,112,75.68%,81,54.73%,37,25.00%,37,25.00%,0,0.00%,0,,
